idiom,definition
made in Japan,"Used other than with a figurative or idiomatic meaning: Manufactured in Japan. (idiomatic, dated) [c. 1950s–70s] Of poor or low quality, especially if cheaply manufactured in East Asia."
made of sterner stuff,"(idiomatic) strong and determined (especially more so than someone else, to whom one is being compared)."
made of stone,(figuratively) cold-hearted; free from emotions.
magic bullet,"(idiomatic) A simple remedy for a difficult or complex problem, especially a cure for a disease."
mail it in,"Used other than with a figurative or idiomatic meaning: see mail,‎ it,‎ in. To deliver a performance without commitment or effort, with lackluster results."
main drag,"Used other than with a figurative or idiomatic meaning: see main,‎ drag. (informal) The main street of a town or suburb, or the principal highway passing through a rural area."
main man,"(idiomatic, chiefly African American Vernacular English) One's closest male friend."
make a clean break,"(idiomatic) To initiate a complete termination of a relationship, or from a situation."
make a decision,(intransitive) To decide.
make a difference,"(idiomatic, intransitive) To carry out an action, the result of which is a significant change, or an altered circumstance. (idiomatic, intransitive) To be of importance; to matter."
make a go of,"(idiomatic) To succeed in (something); especially, to succeed in making a living."
make a killing,(idiomatic) To win or earn a large amount of money.
make a meal of,"(idiomatic, transitive) To spend more time and energy on some task than it warrants; to make something overly complicated; to make a big thing out of. To eat something as a meal."
make a mockery of,"(idiomatic, transitive) To mock; to ridicule or imitate, often to express contempt (idiomatic, transitive) To defeat easily, so as to show up as inadequate."
make a move,"(idiomatic) To take action. (idiomatic, chiefly Britain and India) To depart from a place; to set off. (idiomatic, often followed by on) To initiate a conversation or perform an action intended to engage the willing attention of a person in whom one has a romantic or sexual interest; to approach someone of romantic or sexual appeal in hopes of escalating to a romantic or sexual encounter or relationship."
make a point,(idiomatic) To argue or promote an idea. (idiomatic) To take care in doing something; to pay attention or ensure that something is done.
make a splash,(idiomatic) To do something that attracts attention.
make amends,(idiomatic) To repair a relationship; to resolve an argument or fight; to make reparations or redress.
make an appearance,(idiomatic) To turn up to an event for a brief moment.
make an example of,"(transitive, idiomatic) To punish someone so as to give a warning to others."
make believe,(idiomatic) To pretend or imagine.
make do,"(intransitive, idiomatic, informal) To survive, get by (with), or use whatever is available (due to lack of resources). (transitive, informal) To put into action. (transitive, informal) To use for one's purpose something worn, defective, or intended for another purpose."
make ends meet,(idiomatic) To have enough money to cover expenses; to get by financially; to get through the pay period (sufficient to meet the next payday).
make for,"(idiomatic) To set out to go (somewhere); to move towards. (idiomatic) To tend to produce or result in. (idiomatic, rare) To confirm, favour, strengthen (an opinion, theory, etc.). Used other than with a figurative or idiomatic meaning: see make,‎ for."
make fun of,"(idiomatic, informal) To tease, ridicule or make jokes about, generally in a pejorative manner."
make good on,"(transitive, idiomatic) To fulfill or honour (a promise etc)."
make ground,(idiomatic) gain ground; make progress.
make hay,(literally) To cut grass to turn into hay for animal feed. (idiomatic) To take advantage of an opportunity.
make hay while the sun shines,"(literally, agriculture) To make hay during favourable (dry) weather. (idiomatic) To act while an opportunity exists; to take action while a situation is favorable."
make headway,(idiomatic) To progress; to move forward.
make history,(idiomatic) To do something that will be widely remembered for a long time.
make it,"Used other than with a figurative or idiomatic meaning: see make,‎ it. (idiomatic) to succeed in doing something, for example in reaching a place, going somewhere, attending an event, arriving in time for something, adding to one's schedule or itinerary, or in getting where one wants to be in one's life or career, which sometimes means becoming or wanting to become successful (succeed in a big way) or famous. (idiomatic) to succeed in surviving, in living through something (idiomatic) to have sexual intercourse; do it."
make it rain,"(idiomatic) to bring prosperity or work to an enterprise by selling, inventing or other productive or successful activity (idiomatic) to throw a substantial amount of paper money so that it falls on a crowd, audience, performer, or group of performers, often as a way to show off one's wealth Used other than with a figurative or idiomatic meaning: see make,‎ it,‎ rain."
make it up to,"(idiomatic, transitive) To pay back; to return someone a previous good deed."
make light of,(idiomatic) To regard without due seriousness; to joke about or disregard inappropriately.
make light work of,(idiomatic) To manage something without difficulty.
make matters worse,"(idiomatic) To worsen an already difficult situation or unfavourable set of circumstances, typically by acting rashly, foolishly, or incompetently."
make news,"(intransitive, idiomatic) To be published in the news media."
make no bones about,"(idiomatic) To say, do, or indicate something clearly and without hesitation, even if it may be unpleasant."
make one's bed,(literally) To make the bed in which one has slept. (idiomatic) Alternative form of make one's bed and lie in it
make one's mark,"(idiomatic) To make, or leave, a lasting impression, especially to achieve apparent success. To sign (a document) by making a cross or other mark."
make one's way,"(idiomatic) To move forward, usually toward a destination or goal, physically or conceptually."
make over,"(idiomatic) To renovate or to convert to a different use, particularly houses, offices, or rooms within them. (idiomatic) (of a person, particularly a woman) To give a new physical look to, especially with a new hairstyle, cosmetics, or clothes. (idiomatic) (of a career, public image, etc.) To improve upon or take in a new direction. (idiomatic) To transfer ownership of, especially by means of a legal document."
make peace,"To end hostilities; to reach a peace agreement. (idiomatic) To settle a dispute or disagreement. (idiomatic) To initiate or resume a cordial relationship after a period of animosity. (idiomatic) To accept something, especially if it is considered unfavourable."
make quick work of,"(idiomatic, transitive) To accomplish a specified task easily and quickly. (idiomatic, transitive) To kill a specified person easily and quickly."
make sense,"(intransitive, idiomatic) To be sensible, coherent, reasonable. (intransitive, idiomatic, with of) To decipher or understand."
make short work of,"(transitive, idiomatic) To make (a task) quicker or easier. (transitive, idiomatic) To deal with or overcome (someone or something) quickly and without difficulty."
make someone's day,"(idiomatic) To make someone happy, or be a source of satisfaction, for the rest of the day."
make sure,To ensure; to take care that something happens. (obsolete) To betroth.
make the cut,"(idiomatic, informal) To succeed at something or meet a requirement; to be chosen out of a field of candidates or possibilities."
make the grade,(idiomatic) To prove satisfactory; to be successful or worthy of merit.
make the most of,"(idiomatic, transitive) To realise the maximal value, worth, or potential of (something); to derive as much benefit or profit from (something) as is possible."
make time,"(intransitive) To reserve a period of time to do something. (idiomatic, colloquial) To recover lost time, as by travelling faster than usual. (idiomatic, colloquial, dated) To spend time with a person in or in pursuit of a romantic relationship."
make up one's mind,(idiomatic) To decide; to reach a conclusion.
make up the numbers,(idiomatic) To provide sufficient people to make an event worthwhile.
make waves,"Used other than with a figurative or idiomatic meaning: see make,‎ wave. (idiomatic) To cause a disturbance. (idiomatic) To upset the status quo."
make way,"(figuratively) To make progress. (nautical, of a vessel) To progress through the water . (transitive with for) To give place or step aside."
male member,"Used other than with a figurative or idiomatic meaning: see male,‎ member. (euphemistic) Penis."
male-to-female,"Used other than with a figurative or idiomatic meaning: see female,‎ to,‎ male. Changing or having changed (via gender reassignment surgery) from being physically male to being female. Changing or having changed from having a male gender (gender identity or presentation) to being female. (electronics, of an adapter) That changes a male end (with pins, usually a plug) of a connection into a female one (usually a socket)."
mama's boy,"(idiomatic, derogatory) A male person, especially a young man or boy, who is overly attached to or influenced by his mother; a sissy."
man and boy,(Britain) During one's manhood and during one's boyhood; since one's childhood; all one's life.
man and wife,An opposite-sex married couple.
man down,"(transitive, idiomatic) To lose courage or cause to lose courage. (transitive) To reduce in manpower. (transitive, chiefly falconry) To train (a raptor or other type of bird) to become accustomed to the presence of people; to man."
man in the street,"(idiomatic) A typical person, unversed in a given subject; an inexpert commoner."
man of few words,"(idiomatic) A man who doesn't speak much, or speaks only for a short period of time."
man of the hour,"(idiomatic) A man who has recently caught the attention of, or is being admired or honoured by, a large number of people."
man of the people,"(idiomatic) Usually of a celebrity or political leader: one who shows understanding of and sympathy for the concerns of ordinary people, and who has a rapport with and acceptance by them."
man on the street,"(idiomatic) An ordinary member of the general public, especially one who lacks special expertise."
man up,"(idiomatic) To ""be a man about it""; to do the things a man is traditionally expected to do, such as taking responsibility for the consequences of one's actions, displaying bravery or toughness in the face of adversity, providing for one's family, etc. (Compare man (“brace oneself, steel oneself”).) (of military personnel) To assemble, each person manning (attending to) his station, prepared for the departure of an aircraft, ship, etc. (Compare man (“supply with staff; take up position to operate”).) (of other personnel) To staff adequately; to staff up; to successfully fill all needed labor positions. (Compare man (“supply with staff”).) (sports) To vigorously guard the opponent to which one is assigned."
many happy returns,"(idiomatic) A greeting, usually for birthdays, in reference to the passing year; Happy birthday!"
marching orders,Instructions for action. (Britain) Dismissal: an instruction to leave.
mark my words,"(idiomatic) Listen to me; used before a statement one wishes to emphasize, especially a prediction."
mark time,"(idiomatic, marching) To march in place, while still in step with the beat. (by extension, figuratively) To stand still; to stop making progress temporarily; to wait."
market day,"Used other than with a figurative or idiomatic meaning: see market,‎ day. The day of the week in which a market is held in some particular location."
marry off,"(idiomatic) To successfully arrange the marriage of someone, especially a relative."
mashed potatoes,plural of mashed potato
mass destruction,"Used other than with a figurative or idiomatic meaning: see mass,‎ destruction. (uncountable, idiomatic) Killing of large numbers of people."
match day,The day when graduating medical-school students find out where they will serve as residents. (sports) Used other than with a figurative or idiomatic meaning: The day of a match.
match made in heaven,(idiomatic) A marriage that is likely to be happy and successful because the marital partners are very compatible. (idiomatic) A very successful combination of two people or things.
matter of course,(idiomatic) A natural or logical outcome. (idiomatic) An expected or customary outcome.
matter of fact,a fact (idiomatic) a more factual correction (idiomatic) something completely true (law) Something that is to be tried or proved; an allegation forming the basis of a claim or defense.
matter of life and death,Something whose outcome could result in either someone's survival or their death (idiomatic) An extremely urgent matter.
matter of time,(idiomatic) an inevitable result; something that is bound to happen
me three,"(idiomatic, humorous) Used to express agreement, after someone has already said ""me too."" Can be continued as ""me four,"" ""me five,"" and so on."
meal ticket,"A ticket or voucher that can be exchanged for food. (idiomatic) Someone or something that provides income or livelihood, especially as an exploited source."
meals on wheels,(uncountable) A service that delivers food to those unable to cook for themselves such as the elderly and people with disabilities. (as a plural) The foods delivered by this service.
mean business,"(idiomatic, used to convey serious intent) To be serious, especially where achieving a specific end against opposition is concerned."
mean the world to,(idiomatic) To be loved or cared about a great deal by.
measure up,(idiomatic) To meet expectations; to be as good as.
meat and potatoes,"(informal) Normal, average, typical, unexceptional, or nondescript."
meat market,"A market where meat is sold. (colloquial, idiomatic) A place where one goes for a casual sexual encounter, such as a bar (establishment) or night club. (colloquial) A place or situation abounding in men, especially beefcake."
media darling,(idiomatic) A celebrity who is especially popular and who receives frequent and very favorable attention in the news media.
meet and greet,"(idiomatic) An event where people can meet (especially, with famous people)"
meet halfway,"(intransitive, idiomatic, of two parties) To compromise; to achieve a mutual accommodation. (transitive, idiomatic) To compromise with or to accommodate. (rare, transitive, idiomatic) To settle (contrary opinions, etc.) by making concessions."
meet one's maker,"(idiomatic, euphemistic) To die or to pass into the afterlife."
meet with,"(chiefly US, Canada) To have a meeting with (someone). To encounter; to experience. To answer (something) with; to respond to (something) with. To strike (something). To contact or touch (something)."
meeting of the minds,"(idiomatic) An agreement, especially one resulting from a gathering in which discussion or negotiation took place."
melt into,"(transitive, idiomatic) To disappear gradually into."
melting pot,"A crucible, or similar pot, used to fuse mixtures of metals etc. (idiomatic) A place where many divergent things (often races or cultures, but also talents) come together and are homogenized."
memory lane,"(idiomatic, sometimes capitalized) A set of recollections available to be reviewed, especially accompanied by a feeling of nostalgia."
mend fences,(idiomatic) To repair damage to a friendship or relationship after a disagreement or other mishap.
mend one's ways,(idiomatic) To recognise one's failings and attempt to remedy them
mere mortal,One who is not a god; a human being. (idiomatic) An ordinary person; Someone without special abilities or status.
merry dance,(idiomatic) A useless waste of time resulting from a deception.
mess around,"(informal) To fiddle idly. (informal) To joke, kid, or play. (informal) To have a sexual relationship, especially one which is non-commital."
mess up,"(transitive) To make a mess of; to untidy, disorder, soil, or muss. (transitive) To cause a problem with; to introduce an error or mistake in; to make muddled or confused; spoil; ruin. (transitive) To botch, bungle; to perform poorly on. (intransitive) To make a mistake; to do something incorrectly; to perform poorly. (transitive) To cause (another person) to make unwanted mistakes in a given task, usually through distraction or obnoxious behavior. (transitive) To damage; injure. (transitive, slang) To manhandle; beat up; rough up. (transitive, slang) To discombobulate, utterly confuse, or confound psychologically; to throw into a state of mental disarray."
mess with,"(obsolete) To eat with. (slang) To interfere with. (slang) To diss; to put down. (slang) To joke around with or dupe someone, in either a friendly or unfriendly manner."
middle ground,"(idiomatic) A compromise position between extremes. (art, photography) The middle distance."
middle of nowhere,"(idiomatic) A very remote place; a nondescript place lacking population, interesting things, or defining characteristics."
middle of the road,"(idiomatic) Having a centrist attitude or philosophy; not extreme, especially politically. (music) Of a type of melodic popular music that has wide appeal."
military power,"In jet aircraft technology, the maximum power of a jet aircraft without use of afterburners. Used other than with a figurative or idiomatic meaning: see military,‎ power."
mince words,(idiomatic) To restrain oneself in a conversation by withholding some comments or using euphemisms.
mind one's own business,(idiomatic) To concern oneself only with what is of interest to oneself and not interfere in the affairs of others.
mind you,"(idiomatic, colloquial, chiefly Britain) Used to introduce a qualification or contrastive statement, especially when toning down or rectifying"
mind-numbing,"(idiomatic) Excessively boring, tedious, or dull; repetitive; of an activity, etc., lacking any interest or variety that might serve as intellectual stimulation."
minor miracle,"(idiomatic) An improbable, unexpected, or surprising achievement or other occurrence that is fortunate and agreeable."
mint chocolate chip,"Used other than with a figurative or idiomatic meaning: see mint,‎ chocolate chip. Ice cream flavor with a spearmint or peppermint base and chocolate chips."
mint condition,"(idiomatic) The condition of being used, but still like new, as if freshly minted."
miss the mark,(of a projectile) To fail to hit the target. (figuratively) To fail to achieve the intended result.
miss the point,To fail to grasp the meaning of an utterance or situation.
mission creep,"(politics, military, idiomatic) Gradual unplanned expansion of the objectives, scope, and/or cost of a project, especially a military mission."
mix it up,"(idiomatic) To compete vigorously, to quarrel, or to fight physically. To engage with people, relate to people. To create one or more variations of the usual way in which something is done."
mix up,"(transitive, idiomatic) To mix or blend thoroughly and completely. (intransitive, idiomatic) To combine thoroughly. (transitive, idiomatic) To prepare something from ingredients that are mixed. (transitive, idiomatic) To confuse or reverse. (transitive, usually passive, with with, often with be or get) To become involved with, especially socially or romantically. "
mixed bag,"Any bag containing a mixture of something. By extension, a group of entities with few characteristics in common; an assortment. (idiomatic) something tending to have both good and bad results or characteristics; something having a mixture of advantages and disadvantages."
mixed blessing,(idiomatic) Something that has both good and bad features.
mixed message,"(idiomatic) Any communication that is contradictory, inconsistent, or unclear, especially in its motive or intent."
mixed picture,(idiomatic) A situation in which both negatives and positives are found.
modest proposal,"An idea which is especially extreme, unorthodox or distasteful, often put forward in jest. Used other than with a figurative or idiomatic meaning: see modest,‎ proposal."
moment in the sun,"(idiomatic) A brief instance in which an otherwise obscure, unremarkable, or humble person draws attention."
moment of truth,(idiomatic) A deciding instant; the time when a test determines or makes it apparent whether something will succeed.
money maker,Something profitable. (idiomatic) A woman's buttocks. (slang) A lady’s breast.
money pit,"(idiomatic) A possession or financial commitment that creates substantial ongoing expenses, especially one whose costs are considered to be unsustainable. (sometimes capitalized) Long-standing nickname of a complicated, seemingly man-made excavation on Oak Island in Nova Scotia, Canada, rumored to contain pirate treasure and which has been repeatedly and unsuccessfully probed at great expense."
money's worth,"(business) A good or service whose value meets or exceeds the amount of money paid for it. (idiomatic, by extension) Satisfaction. (idiomatic, by extension) Recompense or just deserts, especially as resulting from dealing with a perceived injury or injustice."
monkey business,"(US, slang) Wasting time, or effort, on some foolish project. An activity that is considered silly, or stupid, or time-wasting. (idiomatic) An activity that may be considered illegal, questionable, or a vice, but not felonious."
monkey wrench,"A wrench (spanner) with an adjustable jaw. (idiomatic) An unexpected or troublesome problem, obstacle or dilemma."
monthly meeting,"Used other than with a figurative or idiomatic meaning: see monthly,‎ meeting. (Quakerism) The basic unit of administration in the Religious Society of Friends (Quakers), which typically meets for services weekly, and holds a business meeting once a month. (Quakerism) A religious service held by a monthly meeting."
mop up,"To clean up (liquid) with a mop, rag, sponge, or other cleaning device. (idiomatic) To fix problems; to correct or repair. (transitive) To clear the leftovers of a dish, in order to eat them. To consume or get rid of an excess of something. To clean up an area destroyed by a natural disaster or by violent activity. To finish something off; to apply a finishing touch To get rid of enemies at a certain area. To win a competition decisively. "
moral compass,"(ethics) An inner sense which distinguishes what is right from what is wrong, functioning as a guide (like the needle of a compass) for morally appropriate behavior. (ethics) A person, belief system, etc. serving as a guide for morally appropriate behavior. (archaic, ethics) The full range of virtues, vices, or actions which may affect others and which are available as choices (like the directions on the face of a compass) to a person, to a group, or to people in general."
moral high ground,"(idiomatic) A position or point of view which is ethically superior or more reputable, in comparison to others which are under consideration."
moral support,"Assistance given to a person or cause, usually without getting directly involved."
more equal,"(idiomatic, ironic) Ostensibly equal, but in reality more privileged."
more like it,"(informal) Better, more desirable."
more than meets the eye,(idiomatic) More than is apparent or readily noticeable.
more than one bargained for,(idiomatic) An unexpected and (usually) unwanted result of a decision or action.
morning person,"(idiomatic) A person who wakes up, without difficulty, early each morning and is alert and active during the first part of the day."
"morning, noon and night",Constantly; ceaselessly; without stopping.
mosquito bite,"(usually in the plural, slang, potentially  offensive) A small breast of a woman. Used other than with a figurative or idiomatic meaning: see mosquito,‎ bite."
mother hen,(literally) A female chicken who bears eggs or chicks. (idiomatic) An outspoken and overprotective woman or person dealing with others' affairs.
mother lode,"(geology) A large or rich vein of gold or of another precious mineral from which other branches extend. (idiomatic, by extension) Any source of valuable or useful material."
motor mouth,Alternative spelling of motormouth
mouth off,"(intransitive, slang) To complain or otherwise express oneself in a loud, immoderate manner. (transitive, intransitive, slang) To talk impudently, especially to one's superior."
move down,"Used other than with a figurative or idiomatic meaning: see move,‎ down. (transitive) To demote (intransitive) to be demoted"
move forward,"Used other than with a figurative or idiomatic meaning: see move,‎ forward. (intransitive) To make progress. (intransitive) To modernize."
move heaven and earth,"(idiomatic) To do whatever is necessary, including extreme or unusual actions; to go to extremes."
move house,(idiomatic) To change one's place of residence.
move it,"(colloquial) To hurry; to hurry up Used other than with a figurative or idiomatic meaning: see move,‎ it."
move mountains,(idiomatic) To make every possible effort in order to achieve something.
move on,"(idiomatic, intransitive) To leave somewhere for another place. (idiomatic, intransitive) To start dealing with something else."
move one's body,(idiomatic) To dance.
move the goalposts,"(idiomatic) To alter the terms of an agreement or an agreed target, or the rules of a negotiation while it is ongoing, especially in an unfair way."
move the needle,(idiomatic) To change a situation to a noticeable degree.
mover and shaker,"(usually in the plural) Someone who has power and influence in a field or activity; one who accomplishes tasks, who gets things done."
much ado about nothing,(idiomatic) A lot of fuss about something trivial.
much less,(idiomatic) Let alone; to say nothing of.
muddle along,(idiomatic) To live or work in an unplanned and unorganised way.
muddy the waters,(figuratively) To make something unclear and difficult to understand.
muffin top,"Used other than with a figurative or idiomatic meaning: see muffin,‎ top; the top of a muffin, sometimes removed to be eaten separately. (colloquial) The roll of flesh that bulges over the top of excessively tight trousers."
mug's game,"(idiomatic) A foolish, profitless, or hopeless undertaking."
music to someone's ears,(idiomatic) Some good news; a spoken expression or a sound which is pleasing; a welcome remark or information.
mutual admiration society,"(idiomatic, derogatory) A group of two or more people, in a workplace or other social environment, who routinely express considerable esteem and support for one another, sometimes to the point of exaggeration or pretense."
my arse,"(slang, Britain) Indicates incredulous disapproval, contradiction or disbelief."
my bad,"(colloquial, idiomatic) My fault; mea culpa."
my eye,"(idiomatic) Expression of disapproval, disregard, disdain, disgust, or disbelief."
my foot,"(idiomatic) Indicates disapproval, disregard, disdain, disgust or disbelief. Used other than with a figurative or idiomatic meaning: see my,‎ foot."
my goodness,"(US, Canada, minced oath) Used to express surprise, shock, or amazement."
my my,"(dated) An extension of my! used to express surprise or pleasure. Also ""my my my!""."
my way or the highway,"(chiefly US, idiomatic) An expression suggesting an ultimatum which indicates the listener(s) will either conform to the desires or teachings of the speaker or else be excluded."
my word,"(idiomatic, Australia, New Zealand, Britain, dated, US, Canada) An expression of surprise. (idiomatic, Australia, New Zealand, Britain, dated, US, Canada) Indeed."
nail biter,one who bites or chews his or her fingernails (idiomatic) a nervous or uncomfortable situation An engaging or exciting cliffhanger.
nail down,"(transitive) to attach with nails (idiomatic, transitive) to make something (e.g. a decision or plan) firm or certain"
nail it,"Used other than with a figurative or idiomatic meaning: see nail,‎ it. Synonym of hit the nail on the head"
name and shame,"(idiomatic, transitive) To publish the name of (a person or organization that has committed some transgression) so as to single them out for individual blame and censure."
name names,"(idiomatic) To identify specific people, especially people involved in misdeeds or other secretive activity."
name of the game,"(idiomatic, almost always preceded by the, informal) The essential element (needed to reach the principal goal or objective); the overall purpose."
narrow down,(idiomatic) To make more specific.
nary a,"Not, never."
native soil,"(idiomatic, as pertaining to persons) The country or geographical region where one was born or which one considers to be one's true homeland. (idiomatic, as pertaining to animals, plants, things, ideas, etc.) Source, place of origin, principal location, or natural habitat."
navigable waters,"Used other than with a figurative or idiomatic meaning: see navigable,‎ waters. (law, US) Those waters that are subject to the ebb and flow of the tide and/or are presently used, or have been used in the past, or may be susceptible for use to transport interstate or foreign commerce. A determination of navigability, once made, applies laterally over the entire surface of the waterbody, and is not extinguished by later actions or events which impede or destroy navigable capacity."
near post,"(soccer, idiomatic) The goalpost nearest from which a cross is made."
neat and tidy,(idiomatic) In a state of good order; tidy.
necessary evil,"(idiomatic) An unfavorable thing that must be done or accepted, especially because the available alternative courses of action or inaction would be worse."
neck and neck,"very close in progress, as in a race or contest"
neck of the woods,(idiomatic) A local neighbourhood or region. (idiomatic) A place or field in which one is comfortable or with which one is familiar.
need-to-know,(idiomatic) (of information) given to another only when necessary.
needle in a haystack,(idiomatic) something that is difficult or impossible to locate; something impossibly complex or intractable
needless to say,"(idiomatic) Clearly, obviously."
neither here nor there,(idiomatic) Having no significance or influence on the question at hand.
nerve-shredding,(informal) Suspenseful.
nerves of steel,"(idiomatic) Great bravery, courage or composure"
nest egg,"A natural or artificial egg placed in a bird's nest, to encourage the bird to lay its own eggs there. (figuratively) A saving; a reserve of money. An egg squash."
never fear,"Used other than with a figurative or idiomatic meaning: see never,‎ fear. Do not worry; do not be afraid."
never in a million years,(idiomatic) Absolutely not.
never mind,"(imperative) It is not important; do not fret; used to reassure or comfort the person to whom it is said. (imperative) Do not be concerned (about someone or something, or about doing something). (imperative) Indicates a withdrawal of a previous statement. (idiomatic) Let alone; much less."
new normal,"(idiomatic) The current prevailing situation, when it has emerged recently, differs dramatically from the previous one and is expected to remain."
new school,"(informal, idiomatic) A style, way of thinking, or method for accomplishing a task that is typical of the current era, as opposed to former eras."
new town,"(Britain) A town built to address housing shortages after World War II. Used other than with a figurative or idiomatic meaning: see new,‎ town."
next big thing,"The most recent fad or trend. Used other than with a figurative or idiomatic meaning: see next,‎ big,‎ thing."
next level,"(countable) Used other than with a figurative or idiomatic meaning: see next,‎ level. (uncountable) A significantly more advanced or unusual state or situation."
next to,"Beside, alongside, by, adjacent or near to. Immediately after, in choice or consideration; aside from. Compared to, in comparison with."
next to nothing,Very little.
next-level,"(idiomatic) Significantly more advanced, better, or more extreme."
nice guy,"(literally) A man who has a pleasant, friendly manner. (idiomatic, euphemistic) An inoffensive adult male who desires romantic companionship but who is too bland and uninspiring to be attractive."
nickel and dime,"(US, idiomatic, colloquial) Small time; operating on a small scale; involving small amounts of money; petty or cheap."
nickel-and-dime,Alternative spelling of nickel and dime
night and day,"Alternative form of day and night. (figuratively) Entirely different, opposite."
night out,"(literally) Going away from one's usual residence for an entire night, and returning the next day. (idiomatic) Spending the evening away from one's usual residence. The phrase typically implies going to a restaurant, going to watch entertainment, or other types of urban nightlife."
night owl,"An owl (order Strigiformes) that is nocturnal. (idiomatic) One who goes to bed late, or stays up late at night or in the early hours of the morning. (music) A musical instrument which imitates an owl's hoot, consisting of a receptacle partly filled with water and a mouthpiece that is blown into."
nine lives,(especially of a cat) Durability; near immunity to damage; remarkable ability to survive.
nine times out of ten,"(idiomatic) very often, mostly, most of the time Used other than with a figurative or idiomatic meaning: see nine,‎ times,‎ out of,‎ ten."
nip and tuck,"(idiomatic) So evenly matched that the advantage shifts from one to the other, and the outcome is uncertain."
nip at,To bite or pinch with small actions. (of poor weather) To be cold; to be bitingly cold. (idiomatic) To sip a drink (usually alcoholic) in small amounts.
nip in the bud,To remove a bud from a plant] to prevent flower and fruit from forming. (idiomatic) To stop something at an early stage.
no biggie,"(idiomatic, slang) Not a big deal, not something to worry about."
no buts,"(idiomatic) Alternative form of no ifs, ands, or buts"
no chance,(idiomatic) Absolutely not; under no circumstances. [from 18th c.]
no comment,"(idiomatic) An ""official"" refusal to relay any further information, used for example in response to a question by a newspaper reporter or police officer. [from c. 1950] (idiomatic) A refusal to make the obvious impolite retort."
no cover,(idiomatic) Without a cover charge.
no dice,(idiomatic) An unacceptable alternative. (idiomatic) An unfavorable result. (informal) Used to express a negative outcome or decision
no go,Alternative form of no-go
no great shakes,"(idiomatic) Something unexceptional, not special or noteworthy."
no hard feelings,"(idiomatic) (I, etc.) hold no lingering anger or resentment toward (you, etc.); there's no bad blood between (us, etc.)."
"no harm, no foul","Although technically a breach of some code or law may have occurred, there was no actual damage meriting punishment, apology or retribution."
no holds barred,(wrestling) Without restrictions on holds or what opponents may do. (idiomatic) Having absolutely no limits or restrictions as far as the levels and nature of one's hostilities and offense; taking to an especially ruthless or vicious manner.
no joy,(idiomatic) a negative outcome
no love lost,(idiomatic) Mutual dislike or animosity.
no mean feat,(idiomatic) A laudable triumph of great difficulty; no small feat
no more,"(idiomatic) Not any more, no further. (idiomatic) Dead."
no pressure,Absence of social expectations about one's behavior or performance in a situation. (idiomatic) The situation at hand is rife with emotional pressure.
no score,"(idiomatic, sports) In a sporting event, a score of zero to zero."
no spring chicken,(idiomatic) Said of a person who is no longer particularly young.
no strings attached,(often hyphenated) Characterized by an absence of conditions or obligations.
no sweat,(informal) Without problems or difficulties.
no time to lose,It is important to do something immediately
no two ways about it,"(idiomatic) No other possible action, choice or option. (idiomatic) No other possible interpretation."
no way,(now  archaic  or  regional) in no way; not at all [from 15th c.]
no-show,"An absence; failure to show up or to make a scheduled appearance, especially at a hotel or a place of employment. A person or group that does not show up."
non-starter,"Someone or something who was listed to start in a race, but did not start in the race. Something that is destined to fail from the outset; an impractical scheme. An idea or argument that cannot be sensibly debated."
none of someone's business,(idiomatic) A matter that someone is not entitled to be involved in or informed about.
nook and cranny,"(idiomatic) A place or part of a place, especially small or remote."
nose to the grindstone,(idiomatic) Hard at work.
not a chance,(idiomatic) Absolutely not; no way.
not a pretty sight,"(euphemistic, sometimes humorous) Something visually unappealing, ranging from mildly unattractive to utterly disgusting in appearance. (idiomatic, by extension) Something disappointing, disquieting, disreputable, or otherwise unworthy of admiration."
not at all,(emphatic) Not.
not bad,"(idiomatic, litotes) Reasonably good."
not by any means,"(idiomatic) Not at all, not in the slightest"
not cricket,"(idiomatic, figuratively, humorous) unsportsmanlike."
not going anywhere,"Used other than with a figurative or idiomatic meaning: see not,‎ go,‎ anywhere. Able to be disregarded and dealt with later. Dependable; not inclined to leave or bail out unexpectedly. Not making progress."
not in the least,"(idiomatic) not at all, not in any way"
not likely,"(idiomatic, informal) Absolutely not; under no circumstances; no way."
not long,"Used other than with a figurative or idiomatic meaning: see not,‎ long. (Britain) Fairly recently."
not out,"(cricket, of a batsman at the end of an innings) not dismissed and having not retired. Used other than with a figurative or idiomatic meaning: see not,‎ out."
not quite,"(idiomatic) almost, not exactly"
not so fast,"(idiomatic) Used to tell someone to stop doing something. Used other than with a figurative or idiomatic meaning: see not,‎ so,‎ fast."
not so hot,"(informal) Not very good. Used other than with a figurative or idiomatic meaning: see not,‎ so,‎ hot."
not the end of the world,"(idiomatic) (It's of) minor importance, at least not as important as it first seemed."
not to mention,(idiomatic) Used by the speaker to mention another important point; an apophasis.
not to say,Even; perhaps; almost.
not your father's,"(idiomatic) Recently changed, made unconventional through modernisation."
nothing for it,"(idiomatic, often followed by but) No alternative; nothing else to be done or to have recourse to."
nothing special,(idiomatic) Something ordinary or run-of-the-mill. (idiomatic) Nothing worth discussing; nothing that the speaker wants to mention.
nothing to it,(idiomatic) Easy; simple or straightforward.
nothing to sneeze at,"(informal) Something that is decent, acceptable, or worthwhile."
nothing to write home about,(idiomatic) Not exceptional; not noteworthy or especially good.
now and again,(idiomatic) Sometimes; occasionally; intermittently.
now and then,(idiomatic) sometimes; occasionally; intermittently
